0    DEBUG [2017-01-20 00:08:11]  CookieSpec selected: default
28   DEBUG [2017-01-20 00:08:11]  Auth cache not set in the context
30   DEBUG [2017-01-20 00:08:11]  Connection request: [route: {s}->https://api.github.com:443][total kept alive: 0; route allocated: 0 of 2; total allocated: 0 of 20]
66   DEBUG [2017-01-20 00:08:11]  Connection leased: [id: 0][route: {s}->https://api.github.com:443][total kept alive: 0; route allocated: 1 of 2; total allocated: 1 of 20]
70   DEBUG [2017-01-20 00:08:11]  Opening connection {s}->https://api.github.com:443
132  DEBUG [2017-01-20 00:08:58]  Connecting to api.github.com/192.30.253.116:443
132  DEBUG [2017-01-20 00:08:58]  Connecting socket to api.github.com/192.30.253.116:443 with timeout 0
9962 DEBUG [2017-01-20 00:09:08]  Enabled protocols: [TLSv1, TLSv1.1, TLSv1.2]
9963 DEBUG [2017-01-20 00:09:08]  Enabled cipher suites:[TLS_ECDHE_ECDSA_WITH_AES_128_CBC_SHA256, TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA256, TLS_RSA_WITH_AES_128_CBC_SHA256, TLS_ECDH_ECDSA_WITH_AES_128_CBC_SHA256, TLS_ECDH_RSA_WITH_AES_128_CBC_SHA256, TLS_DHE_RSA_WITH_AES_128_CBC_SHA256, TLS_DHE_DSS_WITH_AES_128_CBC_SHA256, TLS_ECDHE_ECDSA_WITH_AES_128_CBC_SHA, TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA, TLS_RSA_WITH_AES_128_CBC_SHA, TLS_ECDH_ECDSA_WITH_AES_128_CBC_SHA, TLS_ECDH_RSA_WITH_AES_128_CBC_SHA, TLS_DHE_RSA_WITH_AES_128_CBC_SHA, TLS_DHE_DSS_WITH_AES_128_CBC_SHA, TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256, TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256, TLS_RSA_WITH_AES_128_GCM_SHA256, TLS_ECDH_ECDSA_WITH_AES_128_GCM_SHA256, TLS_ECDH_RSA_WITH_AES_128_GCM_SHA256, TLS_DHE_RSA_WITH_AES_128_GCM_SHA256, TLS_DHE_DSS_WITH_AES_128_GCM_SHA256, TLS_ECDHE_ECDSA_WITH_3DES_EDE_CBC_SHA, TLS_ECDHE_RSA_WITH_3DES_EDE_CBC_SHA, SSL_RSA_WITH_3DES_EDE_CBC_SHA, TLS_ECDH_ECDSA_WITH_3DES_EDE_CBC_SHA, TLS_ECDH_RSA_WITH_3DES_EDE_CBC_SHA, SSL_DHE_RSA_WITH_3DES_EDE_CBC_SHA, SSL_DHE_DSS_WITH_3DES_EDE_CBC_SHA, TLS_EMPTY_RENEGOTIATION_INFO_SCSV]
9964 DEBUG [2017-01-20 00:09:08]  Starting handshake
11022 DEBUG [2017-01-20 00:09:09]  Secure session established
11022 DEBUG [2017-01-20 00:09:09]   negotiated protocol: TLSv1.2
11023 DEBUG [2017-01-20 00:09:09]   negotiated cipher suite: TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256
11024 DEBUG [2017-01-20 00:09:09]   peer principal: CN=*.github.com, O="GitHub, Inc.", L=San Francisco, ST=California, C=US
11025 DEBUG [2017-01-20 00:09:09]   peer alternative names: [*.github.com, github.com]
11026 DEBUG [2017-01-20 00:09:09]   issuer principal: CN=DigiCert SHA2 High Assurance Server CA, OU=www.digicert.com, O=DigiCert Inc, C=US
11038 DEBUG [2017-01-20 00:09:09]  Connection established 192.168.0.101:59994<->192.30.253.116:443
11038 DEBUG [2017-01-20 00:09:09]  Executing request GET /? HTTP/1.1
11039 DEBUG [2017-01-20 00:09:09]  Target auth state: UNCHALLENGED
11041 DEBUG [2017-01-20 00:09:09]  Proxy auth state: UNCHALLENGED
11045 DEBUG [2017-01-20 00:09:09]  http-outgoing-0 >> GET /? HTTP/1.1
11046 DEBUG [2017-01-20 00:09:09]  http-outgoing-0 >> Host: api.github.com
11046 DEBUG [2017-01-20 00:09:09]  http-outgoing-0 >> Connection: Keep-Alive
11046 DEBUG [2017-01-20 00:09:09]  http-outgoing-0 >> User-Agent: Apache-HttpClient/4.5.2 (Java/1.8.0_91)
11047 DEBUG [2017-01-20 00:09:09]  http-outgoing-0 >> Accept-Encoding: gzip,deflate
11047 DEBUG [2017-01-20 00:09:09]  http-outgoing-0 >> "GET /? HTTP/1.1[\r][\n]"
11048 DEBUG [2017-01-20 00:09:09]  http-outgoing-0 >> "Host: api.github.com[\r][\n]"
11049 DEBUG [2017-01-20 00:09:09]  http-outgoing-0 >> "Connection: Keep-Alive[\r][\n]"
11049 DEBUG [2017-01-20 00:09:09]  http-outgoing-0 >> "User-Agent: Apache-HttpClient/4.5.2 (Java/1.8.0_91)[\r][\n]"
11050 DEBUG [2017-01-20 00:09:09]  http-outgoing-0 >> "Accept-Encoding: gzip,deflate[\r][\n]"
11050 DEBUG [2017-01-20 00:09:09]  http-outgoing-0 >> "[\r][\n]"
11323 DEBUG [2017-01-20 00:09:10]  http-outgoing-0 << "HTTP/1.1 200 OK[\r][\n]"
11324 DEBUG [2017-01-20 00:09:10]  http-outgoing-0 << "Server: GitHub.com[\r][\n]"
11325 DEBUG [2017-01-20 00:09:10]  http-outgoing-0 << "Date: Thu, 19 Jan 2017 16:09:09 GMT[\r][\n]"
11326 DEBUG [2017-01-20 00:09:10]  http-outgoing-0 << "Content-Type: application/json; charset=utf-8[\r][\n]"
11326 DEBUG [2017-01-20 00:09:10]  http-outgoing-0 << "Transfer-Encoding: chunked[\r][\n]"
11328 DEBUG [2017-01-20 00:09:10]  http-outgoing-0 << "Status: 200 OK[\r][\n]"
11328 DEBUG [2017-01-20 00:09:10]  http-outgoing-0 << "X-RateLimit-Limit: 60[\r][\n]"
11329 DEBUG [2017-01-20 00:09:10]  http-outgoing-0 << "X-RateLimit-Remaining: 57[\r][\n]"
11330 DEBUG [2017-01-20 00:09:10]  http-outgoing-0 << "X-RateLimit-Reset: 1484845308[\r][\n]"
11330 DEBUG [2017-01-20 00:09:10]  http-outgoing-0 << "Cache-Control: public, max-age=60, s-maxage=60[\r][\n]"
11331 DEBUG [2017-01-20 00:09:10]  http-outgoing-0 << "Vary: Accept[\r][\n]"
11331 DEBUG [2017-01-20 00:09:10]  http-outgoing-0 << "ETag: W/"71c20e818259a283a4a0ff002435bd03"[\r][\n]"
11332 DEBUG [2017-01-20 00:09:10]  http-outgoing-0 << "X-GitHub-Media-Type: github.v3; format=json[\r][\n]"
11333 DEBUG [2017-01-20 00:09:10]  http-outgoing-0 << "Access-Control-Expose-Headers: ETag, Link, X-GitHub-OTP, X-RateLimit-Limit, X-RateLimit-Remaining, X-RateLimit-Reset, X-OAuth-Scopes, X-Accepted-OAuth-Scopes, X-Poll-Interval[\r][\n]"
11334 DEBUG [2017-01-20 00:09:10]  http-outgoing-0 << "Access-Control-Allow-Origin: *[\r][\n]"
11335 DEBUG [2017-01-20 00:09:10]  http-outgoing-0 << "Content-Security-Policy: default-src 'none'[\r][\n]"
11336 DEBUG [2017-01-20 00:09:10]  http-outgoing-0 << "Strict-Transport-Security: max-age=31536000; includeSubdomains; preload[\r][\n]"
11337 DEBUG [2017-01-20 00:09:10]  http-outgoing-0 << "X-Content-Type-Options: nosniff[\r][\n]"
11338 DEBUG [2017-01-20 00:09:10]  http-outgoing-0 << "X-Frame-Options: deny[\r][\n]"
11339 DEBUG [2017-01-20 00:09:10]  http-outgoing-0 << "X-XSS-Protection: 1; mode=block[\r][\n]"
11339 DEBUG [2017-01-20 00:09:10]  http-outgoing-0 << "Vary: Accept-Encoding[\r][\n]"
11340 DEBUG [2017-01-20 00:09:10]  http-outgoing-0 << "X-Served-By: 173530fed4bbeb1e264b2ed22e8b5c20[\r][\n]"
11341 DEBUG [2017-01-20 00:09:10]  http-outgoing-0 << "Content-Encoding: gzip[\r][\n]"
11341 DEBUG [2017-01-20 00:09:10]  http-outgoing-0 << "X-GitHub-Request-Id: EA5A:7EEC:1572C30:1AC3E3D:5880E49C[\r][\n]"
11342 DEBUG [2017-01-20 00:09:10]  http-outgoing-0 << "[\r][\n]"
11342 DEBUG [2017-01-20 00:09:10]  http-outgoing-0 << "1d9[\r][\n]"
11343 DEBUG [2017-01-20 00:09:10]  http-outgoing-0 << "[0x1f][0x8b][0x8][0x0][0x0][0x0][0x0][0x0][0x0][0x3][0x95][0x95]Mn[0xc2]0[0x10][0x85][0xef][0xc2][0xa2]+[0x84][0xf7]H[0x15]G[0x89]L2$n[0x93]8[0xd8][0x93]"jq[0xf7][0xce][0xd8][0x9]$T[0xb2][0x9d][\r][0xb0][0xf8][0xde][0xcc][0x9b]?[0xe3]v[0xe5]h[0xc][0xf4]X[0x8c][0x16]L1[0x9a]vw[0xdc]5[0x88][0x83]=[\n]"
11346 DEBUG [2017-01-20 00:09:10]  http-outgoing-0 << "![0x7]u[0xa8][0x15]6[0xe3][0xf9]P[0xea]N0[0xb1][0xdb][0xaf][0x5]r[0xc4]F[0x1b][0xf5]+Q[0xe9][0xde][0x16][\r]v[0xed][[0x90]E[0x0][0xb][0x88][0xaa][0xaf][0xad](u[0xdf]C[0xe9]%[0x94]dhU[0x19][0xf4]N[0x94][0xad]b3[0xaa]zP[0xa6][0xb7][0xe0]Qsk[0x96]m[0xea][\n]"
11348 DEBUG [2017-01-20 00:09:10]  http-outgoing-0 << "[\n]"
11349 DEBUG [2017-01-20 00:09:10]  http-outgoing-0 << "[0xb][0xd2][0x94]M[0xbc][0xac][0xc0][0x90][0xa7][\n]"
11350 DEBUG [2017-01-20 00:09:10]  http-outgoing-0 << "N[0xd7]Ow[0x1d][0xc1][0xdc][0x1f][0xee]c[0x90]5[0xec][0x7][0xea][0x89][0xff]a[0xb5][0xc1][0xbd]6[0x15][0x18]6F[0xdd][0xe8][0x14]n[0x8b][0xce][\n]"
11351 DEBUG [2017-01-20 00:09:10]  http-outgoing-0 << "[0x9b][0x9b][0x0]:[0xa9]Z[0x1b][0xf7][0xcd][0xe3][0x10][0x1]$K[0xd0][0xe9]/[0x95]P[0x4][0x86][0xe1][0x1f]jr[\n]"
